Date,Price
31-07-15,627373.4732
31-08-15,639207.0518
30-09-15,646597.9438
31-10-15,652980.2069
30-11-15,649585.2987
31-12-15,663036.2492
31-01-16,652356.0123
29-02-16,654660.9769
31-03-16,669974.6628
30-04-16,686194.9583
31-05-16,695789.8245
30-06-16,696736.7659
31-07-16,705994.9102
31-08-16,700197.9597
30-09-16,696799.6231
31-10-16,696148.1526
30-11-16,687145.6646
31-12-16,703084.2348
31-01-17,705354.2239
28-02-17,710738.5258
31-03-17,718531.3263
30-04-17,716840.7724
31-05-17,705637.2584
30-06-17,710437.7606
31-07-17,715309.2831
31-08-17,716588.7185
30-09-17,713547.579
31-10-17,710419.9095
30-11-17,712728.7941
31-12-17,712053.8258
31-01-18,710530.1671
28-02-18,723122.8279
31-03-18,719720.1111
30-04-18,720894.171
31-05-18,722100.5743
30-06-18,717474.1772
31-07-18,708857.0633
31-08-18,711454.2551
30-09-18,703934.9908
31-10-18,702611.9439
30-11-18,704441.9219
31-12-18,714781.8666
31-01-19,715246.7739
28-02-19,714615.4587
31-03-19,717505.1215
30-04-19,719750.9999
31-05-19,715406.705
30-06-19,710976.4621
31-07-19,710746.5184
31-08-19,705358.5224
30-09-19,702652.4752
31-10-19,709128.42
30-11-19,709621.3941
31-12-19,704149.9557
31-01-20,703947.8698
29-02-20,716116.6597
31-03-20,719833.4282
30-04-20,718321.0352
31-05-20,724109.8988
30-06-20,724368.2196
31-07-20,734885.4465
31-08-20,738550.7452
30-09-20,757311.5923
31-10-20,761656.2058
30-11-20,770989.6239
31-12-20,770399.3054
31-01-21,774297.5602
28-02-21,788249.1791
31-03-21,799943.9196
30-04-21,807142.6012
31-05-21,822261.6682
30-06-21,829743.7351
31-07-21,836773.1195
31-08-21,838743.7058
30-09-21,832420.1258
31-10-21,821943.9787
30-11-21,827900.8961
31-12-21,831059.9486
31-01-22,843412.1439
28-02-22,860029.8453
31-03-22,891040.3973
30-04-22,913318.0658
31-05-22,920066.4964
30-06-22,905069.3457
