Date,Price
31-07-15,374460.0316
31-08-15,385744.7736
30-09-15,382376.861
31-10-15,384975.0154
30-11-15,390622.973
31-12-15,393923.6757
31-01-16,398029.7301
29-02-16,399604.6403
31-03-16,404470.4735
30-04-16,413706.9935
31-05-16,424988.8647
30-06-16,424183.0821
31-07-16,430003.9555
31-08-16,430138.9362
30-09-16,435026.7774
31-10-16,439008.5243
30-11-16,440526.7161
31-12-16,446754.3978
31-01-17,450071.3852
28-02-17,454606.4022
31-03-17,458772.9104
30-04-17,461872.1031
31-05-17,462177.4682
30-06-17,464505.3006
31-07-17,463742.8023
31-08-17,467047.8854
30-09-17,463958.2749
31-10-17,467472.3018
30-11-17,475442.2147
31-12-17,478702.4918
31-01-18,482630.4193
28-02-18,482911.9112
31-03-18,486794.0581
30-04-18,489060.9513
31-05-18,495599.3853
30-06-18,501977.7463
31-07-18,500854.7464
31-08-18,508561.5034
30-09-18,514255.1446
31-10-18,507895.2549
30-11-18,509247.2632
31-12-18,507725.5946
31-01-19,515479.1413
28-02-19,511828.3339
31-03-19,513485.5105
30-04-19,514536.2283
31-05-19,516721.9199
30-06-19,513902.064
31-07-19,516857.3127
31-08-19,513869.2589
30-09-19,523961.2475
31-10-19,530866.0369
30-11-19,539631.6028
31-12-19,533347.8539
31-01-20,535782.1486
29-02-20,542401.1418
31-03-20,551070.5151
30-04-20,556075.5662
31-05-20,558330.5408
30-06-20,559231.1292
31-07-20,565252.1762
31-08-20,584304.5518
30-09-20,596400.7481
31-10-20,615952.9387
30-11-20,625824.7766
31-12-20,634731.2149
31-01-21,650449.8745
28-02-21,661010.616
31-03-21,669206.8296
30-04-21,688119.0599
31-05-21,703733.1519
30-06-21,725895.8154
31-07-21,733611.8613
31-08-21,756038.651
30-09-21,759442.4936
31-10-21,774511.0977
30-11-21,776398.8302
31-12-21,792964.2074
31-01-22,802746.2605
28-02-22,838026.7311
31-03-22,836825.286
30-04-22,850128.4288
31-05-22,862817.9493
30-06-22,850433.3313
